,Description,NaceCode,Age,Number_of_Activities
225,Préparation et filature de fibres de type cotonnier,17110,34.082191780821915,458
226,Édition de journaux,22120,34.02427184466019,493
227,Agences d'expédition,63401,34.015686274509804,1974
228,Fabrication d'articles sanitaires,28752,34.0,86
229,Autres activités d'action sociale sans hébergement n.d.a.,85323,33.99726402188782,10198
230,Apprêt et tannage des cuirs,19100,33.964285714285715,204
231,Sciage et rabotage du bois,20101,33.908902691511386,1405
232,Production de malt,15970,33.9,29
233,Production d'huiles végétales brutes,15411,33.89655172413793,47
234,Fabrication d'emballages légers en métal,28720,33.888888888888886,74
235,Industries alimentaires n.d.a.,15890,33.88770053475936,326
236,"Fabrication d'objets en liège, vannerie ou sparterie",20520,33.875,498
237,Crédit-bail,65210,33.86178861788618,3907
238,Fabrication de machines agricoles et forestières,29321,33.83653846153846,375
239,"Fabrication de moteurs, génératrices et transformateurs électriques",31100,33.79775280898876,518
240,Fonderie de métaux légers,27530,33.75,44
241,Fabrication de pull-overs et articles similaires à mailles,17720,33.75,391
242,Autres organismes de sécurité sociale,84309,33.672,630
243,"Commerce de gros de peintures, vernis et matériaux de construction, y compris les appareils sanitaires",51532,33.643467643467645,6191
244,Fabrication de produits laitiers,15510,33.62130177514793,282
245,Fabrication de fils et câbles isolés,31300,33.476190476190474,75
246,Fabrication de machines pour l'industrie agro-alimentaire,29530,33.443548387096776,216
247,Administration communautaire et régionale,75112,33.416666666666664,284
248,Opérations directes d'assurances vie,66011,33.30769230769231,375
249,Enseignement primaire spécialisé organisé par les pouvoirs publics,85205,33.28,283
250,Exploitation de terrains de camping,55220,33.25107296137339,952
251,Hébergement collectif non touristique,55233,33.20388349514563,279
252,Fabrication de machines de bureau,30010,33.18518518518518,97
253,Extraction de pierres ornementales et de construction,08111,33.088235294117645,534
254,Fabrication d'emballages en matières plastiques,25220,33.026315789473685,275
255,Fabrication de pompes et compresseurs,29120,33.0,264
256,Administration publique fédérale,84111,32.97727272727273,838
257,"Captage, traitement et distribution d'eau",36000,32.97452229299363,1255
258,Enseignement supérieur communautaire,80301,32.96296296296296,236
259,Fabrication d'autres produits chimiques,24660,32.922413793103445,178
260,"Commerce de gros de machines pour l'industrie textile et l'habillement, de machines à coudre et à tricoter",51830,32.855555555555554,221
261,Activités des hôpitaux psychiatriques,86104,32.774647887323944,250
262,Extraction d'argiles et de kaolin,14220,32.76923076923077,27
263,Fabrication de béton prêt à l'emploi,26630,32.766666666666666,465
264,Fabrication d'outillage,28620,32.72222222222222,263
265,Secrétariats sociaux,74854,32.68,514
266,Activités de soutien aux autres industries extractives,09900,32.67272727272727,233
267,Commerce de gros de déchets et débris,51570,32.66306027820711,946
268,Commerce de gros de viande et de produits à base de viande et de charcuterie à l'exclusion de viande de volailles et de gibiers,51321,32.57540826128722,2699
269,Crédit à la consommation,65221,32.57142857142857,636
270,"Fabrication de fours et brûleurs industriels, y compris les fours et les brûleurs électriques",29210,32.549019607843135,118
271,Fabrication de machines-outils pour le travail des métaux,29420,32.54040404040404,328
272,"Blanchisseries, teintureries et similaires",93011,32.53417266187051,791
273,Commerce de gros de quincaillerie,51541,32.44182621502209,1355
274,"Première transformation du plomb, du zinc et de l'étain",27432,32.388888888888886,34
275,"Commerce de gros de journaux, livres et périodiques",51472,32.36842105263158,2136
276,Commerce de détail spécialisé de combustibles solides et liquides,52481,32.35867895545315,1694
277,Production de boissons alcooliques distillées,15910,32.353846153846156,101
278,Fabrication d'autres articles en matières plastiques,25240,32.34011627906977,536
